trial_id,seed,vendor_id,scenario_type,attack_vector,authenticated,detection_occurred,is_false_positive,detection_time,containment_occurred,containment_time,response_latency,initial_risk_score,final_risk_score,risk_delta,assets_compromised,assets_blocked,files_compromised,files_blocked,lateral_transitions_successful,sensitive_assets_reached,internal_assets_reached
10,108473,VEND-001,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,62.2,24.3,-37.9,1,0,0,0,1,0,0
11,710570,VEND-002,BASELINE,NORMAL_SESSION,False,False,False,,False,,,21.8,21.8,0.0,1,0,0,0,1,0,0
11,710570,VEND-002,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,21.8,15.5,-6.3,1,0,0,0,1,0,0
12,777646,VEND-002,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
12,777646,VEND-002,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
13,936518,VEND-002,BASELINE,LATERAL_PROBE,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
13,936518,VEND-002,PROTECTED,LATERAL_PROBE,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
14,572858,VEND-002,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
14,572858,VEND-002,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
15,92161,VEND-002,BASELINE,NORMAL_SESSION,False,False,False,,False,,,21.8,21.8,0.0,1,0,0,0,1,0,0
15,92161,VEND-002,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,21.8,15.5,-6.3,1,0,0,0,1,0,0
16,620176,VEND-002,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
16,620176,VEND-002,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
17,443417,VEND-002,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
17,443417,VEND-002,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
18,34326,VEND-002,BASELINE,LATERAL_PROBE,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
18,34326,VEND-002,PROTECTED,LATERAL_PROBE,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
19,32244,VEND-002,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
19,32244,VEND-002,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
20,99246,VEND-002,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,21.8,36.8,15.0,10,0,5,0,9,4,3
20,99246,VEND-002,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,0.8,True,1.4,0.6,21.8,15.5,-6.3,0,0,0,5,0,0,0
21,230258,VEND-003,BASELINE,LATERAL_PROBE,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
21,230258,VEND-003,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
22,244962,VEND-003,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
22,244962,VEND-003,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
23,530903,VEND-003,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
23,530903,VEND-003,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
24,632262,VEND-003,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
24,632262,VEND-003,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
25,28824,VEND-003,BASELINE,LATERAL_PROBE,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
25,28824,VEND-003,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
26,589508,VEND-003,BASELINE,LATERAL_PROBE,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
26,589508,VEND-003,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
27,209496,VEND-003,BASELINE,NORMAL_SESSION,False,False,False,,False,,,36.3,36.3,0.0,1,0,0,0,1,0,0
27,209496,VEND-003,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,36.3,15.5,-20.8,1,0,0,0,1,0,0
28,751800,VEND-003,BASELINE,NORMAL_SESSION,False,False,False,,False,,,36.3,36.3,0.0,1,0,0,0,1,0,0
28,751800,VEND-003,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,36.3,15.5,-20.8,1,0,0,0,1,0,0
29,682453,VEND-003,BASELINE,LATERAL_PROBE,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
29,682453,VEND-003,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
30,736392,VEND-003,BASELINE,LATERAL_PROBE,True,False,False,,False,,,36.3,47.5,11.2,10,0,5,0,9,4,3
30,736392,VEND-003,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,36.3,15.5,-20.8,2,2,0,5,1,0,0
31,572412,VEND-004,BASELINE,LATERAL_PROBE,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
31,572412,VEND-004,PROTECTED,LATERAL_PROBE,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
32,440898,VEND-004,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
32,440898,VEND-004,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
33,232148,VEND-004,BASELINE,NORMAL_SESSION,False,False,False,,False,,,90.3,90.3,0.0,1,0,0,0,1,0,0
33,232148,VEND-004,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,90.3,15.5,-74.8,1,0,0,0,1,0,0
34,472029,VEND-004,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
34,472029,VEND-004,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
35,618889,VEND-004,BASELINE,LATERAL_PROBE,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
35,618889,VEND-004,PROTECTED,LATERAL_PROBE,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
36,292704,VEND-004,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
36,292704,VEND-004,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
37,849749,VEND-004,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
37,849749,VEND-004,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
38,912527,VEND-004,BASELINE,NORMAL_SESSION,False,False,False,,False,,,90.3,90.3,0.0,1,0,0,0,1,0,0
38,912527,VEND-004,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,90.3,15.5,-74.8,1,0,0,0,1,0,0
39,7814,VEND-004,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
39,7814,VEND-004,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
40,796667,VEND-004,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,90.3,97.8,7.5,10,0,5,0,9,4,3
40,796667,VEND-004,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.0,True,1.6,0.6,90.3,15.5,-74.8,1,2,0,5,0,0,0
41,845962,VEND-005,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
41,845962,VEND-005,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
42,168414,VEND-005,BASELINE,CREDENTIAL_COMPROMISE,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
42,168414,VEND-005,PROTECTED,CREDENTIAL_COMPROMISE,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
43,733052,VEND-005,BASELINE,NORMAL_SESSION,False,False,False,,False,,,9.2,9.2,0.0,1,0,0,0,1,0,0
43,733052,VEND-005,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,9.2,9.2,0.0,1,0,0,0,1,0,0
44,444143,VEND-005,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
44,444143,VEND-005,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
45,357778,VEND-005,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
45,357778,VEND-005,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
46,292369,VEND-005,BASELINE,NORMAL_SESSION,False,False,False,,False,,,9.2,9.2,0.0,1,0,0,0,1,0,0
46,292369,VEND-005,PROTECTED,NORMAL_SESSION,False,False,False,,False,,,9.2,9.2,0.0,1,0,0,0,1,0,0
47,164032,VEND-005,BASELINE,LATERAL_PROBE,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
47,164032,VEND-005,PROTECTED,LATERAL_PROBE,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
48,226772,VEND-005,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
48,226772,VEND-005,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
49,801581,VEND-005,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
49,801581,VEND-005,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
50,353944,VEND-005,BASELINE,PRIVILEGE_ESCALATION,True,False,False,,False,,,9.2,24.2,15.0,10,0,5,0,9,4,3
50,353944,VEND-005,PROTECTED,PRIVILEGE_ESCALATION,True,True,False,1.2,True,1.8,0.6,9.2,9.2,0.0,2,1,0,5,1,0,0
